area,year,latitude,longitude,aqi_openweather_avg,pm2_5_avg,pm10_avg,no2_avg,o3_avg,co_avg
Ashok Nagar,2022,12.9694359,77.6092319,2.67,26.97,31.36,19.51,45.67,625.3
Ashok Nagar,2023,12.9694359,77.6092319,2.22,23.57,27.92,18.23,47.04,591.49
Ashok Nagar,2024,12.9694359,77.6092319,2.21,22.74,25.86,15.89,49.45,596.5
Ashok Nagar,2025,12.9694359,77.6092319,2.1,21.43,26.53,10.02,53.59,327.1
Ashok Nagar,2026,12.9694359,77.6092319,3.18,42.23,50.97,6.06,82.52,332.38
Attiguppe,2020,12.9618745,77.5335505,3.63,42.83,47.78,16.51,59.0,566.13
Attiguppe,2021,12.9618745,77.5335505,2.51,24.37,28.53,18.02,41.71,606.76
Attiguppe,2022,12.9618745,77.5335505,2.67,26.97,31.36,19.51,45.67,625.3
Attiguppe,2023,12.9618745,77.5335505,2.22,23.57,27.92,18.23,47.04,591.49
Attiguppe,2024,12.9618745,77.5335505,2.21,22.74,25.86,15.89,49.45,596.5
Attiguppe,2025,12.9618745,77.5335505,2.1,21.43,26.53,10.02,53.59,327.1
Attiguppe,2026,12.9618745,77.5335505,3.1,40.65,49.24,6.17,81.26,335.27
Avalahalli,2020,12.9459464,77.5409354,3.63,42.83,47.78,16.51,59.0,566.13
Avalahalli,2021,12.9459464,77.5409354,2.51,24.37,28.53,18.02,41.71,606.76
Avalahalli,2022,12.9459464,77.5409354,2.67,26.97,31.36,19.51,45.67,625.3
Avalahalli,2023,12.9459464,77.5409354,2.22,23.57,27.92,18.23,47.04,591.49
Avalahalli,2024,12.9459464,77.5409354,2.21,22.74,25.86,15.89,49.45,596.5
Avalahalli,2025,12.9459464,77.5409354,2.1,21.43,26.53,10.02,53.59,327.1
Avalahalli,2026,12.9459464,77.5409354,3.1,40.65,49.24,6.17,81.26,335.27
Azad Nagar,2020,12.9559212,77.5566879,3.63,42.83,47.78,16.51,59.0,566.13
Azad Nagar,2021,12.9559212,77.5566879,2.51,24.37,28.53,18.02,41.71,606.76
Azad Nagar,2022,12.9559212,77.5566879,2.67,26.97,31.36,19.51,45.67,625.3
Azad Nagar,2023,12.9559212,77.5566879,2.22,23.57,27.92,18.23,47.04,591.49
Azad Nagar,2024,12.9559212,77.5566879,2.21,22.74,25.86,15.89,49.45,596.5
Azad Nagar,2025,12.9559212,77.5566879,2.1,21.43,26.53,10.02,53.59,327.1
Azad Nagar,2026,12.9559212,77.5566879,3.1,40.65,49.24,6.17,81.26,335.27
BTM Layout,2020,12.9140008,77.6102821,3.63,42.83,47.78,16.51,59.0,566.13
BTM Layout,2021,12.9140008,77.6102821,2.51,24.37,28.53,18.02,41.71,606.76
BTM Layout,2022,12.9140008,77.6102821,2.67,26.97,31.36,19.51,45.67,625.3
BTM Layout,2023,12.9140008,77.6102821,2.22,23.57,27.92,18.23,47.04,591.49
BTM Layout,2024,12.9140008,77.6102821,2.21,22.74,25.86,15.89,49.45,596.5
BTM Layout,2025,12.9140008,77.6102821,2.1,21.43,26.53,10.02,53.59,327.1
BTM Layout,2026,12.9140008,77.6102821,3.18,42.23,50.97,6.06,82.52,332.38
Banashankari Temple ward,2020,12.9117234,77.5707877,3.63,42.83,47.78,16.51,59.0,566.13
Banashankari Temple ward,2021,12.9117234,77.5707877,2.51,24.37,28.53,18.02,41.71,606.76
Banashankari Temple ward,2022,12.9117234,77.5707877,2.67,26.97,31.36,19.51,45.67,625.3
Banashankari Temple ward,2023,12.9117234,77.5707877,2.22,23.57,27.92,18.23,47.04,591.49
Banashankari Temple ward,2024,12.9117234,77.5707877,2.21,22.74,25.86,15.89,49.45,596.5
Banashankari Temple ward,2025,12.9117234,77.5707877,2.1,21.43,26.53,10.02,53.59,327.1
Banashankari Temple ward,2026,12.9117234,77.5707877,3.1,40.65,49.24,6.17,81.26,335.27
Bangalore East,2020,13.0001781,77.6190244,3.63,42.83,47.78,16.51,59.0,566.13
Bangalore East,2021,13.0001781,77.6190244,2.51,24.37,28.53,18.02,41.71,606.76
Bangalore East,2022,13.0001781,77.6190244,2.67,26.97,31.36,19.51,45.67,625.3
Bangalore East,2023,13.0001781,77.6190244,2.22,23.57,27.92,18.23,47.04,591.49
Bangalore East,2024,13.0001781,77.6190244,2.21,22.74,25.86,15.89,49.45,596.5
Bangalore East,2025,13.0001781,77.6190244,2.1,21.43,26.53,10.02,53.59,327.1
Bangalore East,2026,13.0001781,77.6190244,3.17,40.45,48.31,4.7,86.43,311.71
Bangalore North,2020,13.0222347,77.5671832,3.63,42.83,47.78,16.51,59.0,566.13
Bangalore North,2021,13.0222347,77.5671832,2.51,24.37,28.53,18.02,41.71,606.76
